param,Mean,Median,St.Dev.,95%CI_low,95%CI_upp
alpha[1],-0.06637041405917718,-0.06672842493873485,0.059227290635594024,-0.18191276871376585,0.05112888947076019
beta[1],-0.6248216863839504,-0.62365482640654,0.09749624668549321,-0.818589254102135,-0.435708390379975
lp[1],-4.060855671520776,-4.010829848983131,0.6070026845072463,-5.358506783199834,-2.9738197671536337
lp[2],-2.059162653626287,-2.0578432635648465,0.09468972989087883,-2.250359191688185,-1.8778050615195498
lp[3],-2.829362066958748,-2.782045682309512,0.58963860542643,-4.105638440028011,-1.802688603515985
lp[4],-2.213340393909691,-2.206562848485312,0.22125307479315298,-2.662862235849772,-1.7964645622003106
lp[5],-1.56646504806768,-1.5670602993954865,0.09136774123910574,-1.7441990509245113,-1.3858965081658556
lp[6],-2.3215291834186256,-2.318888625273529,0.11830915071073858,-2.555517600315722,-2.095494766843906
lp[7],-2.6431834540754657,-2.6284095426964695,0.23892402915264901,-3.1452068383999543,-2.203373701912507
lp[8],-3.362984737970481,-3.353434550834737,0.2472155090610891,-3.8627355901343154,-2.9102692523988267
lp[9],-2.9819180104106606,-2.976392608191116,0.1739844804030668,-3.3369483183136563,-2.65455075309595
lp[10],-0.7053846052172305,-0.6957754651799906,0.404500504529819,-1.5311807613074424,0.061233880231619485
lp[11],-2.3311800995871477,-2.321047893239666,0.23519188951407283,-2.8202435939788795,-1.8955273902132
lp[12],-3.6504995236871727,-3.57874223581235,0.8239618520848901,-5.415468714581771,-2.208987567197268
lp[13],-3.5436666003957344,-3.5343820125555725,0.25623615160041924,-4.066352515359467,-3.0684834792555797
lp[14],-2.7984418042642107,-2.790290569761256,0.20208575704836337,-3.2078086885174257,-2.4224252846462644
lp[15],-2.3261194238589615,-2.3229409412977846,0.12236746299752847,-2.5748162176136837,-2.0923412437471174
lp[16],-2.9520399706999303,-2.9485790260536167,0.16777778132924412,-3.2943521521127264,-2.632649340472234
lp[17],-2.7853179080487362,-2.780458790376535,0.16807033526102033,-3.1243241429697144,-2.463658115398792
lp[18],-3.7085906111454894,-3.6542590995448845,0.8351135822427928,-5.451289930717358,-2.225617018292184
lp[19],-2.0774461755570477,-2.0764590329210675,0.08007635156085696,-2.2347960107890286,-1.9228994131876032
lp[20],-2.555155086594567,-2.5471545358819387,0.2396111593504569,-3.0456160486478248,-2.112875763928248
lp[21],-4.034551762479492,-4.009808244229044,0.48374592278674144,-5.057081436640328,-3.167412935681278
lp[22],-3.21333902157831,-3.166058544037994,0.5324621068527454,-4.384182525481489,-2.290504333241253
lp[23],-3.1566520143755334,-3.101962070657044,0.7613822857456387,-4.787309950669733,-1.8205941870035374
lp[24],-3.4331708160229573,-3.412872241356891,0.35715826309424925,-4.1856193241079005,-2.7991569972965165
lp[25],-2.1119576227458845,-2.1084160540925683,0.1493191304123081,-2.4158909659248304,-1.8339568091453011
lp[26],-3.3040085107626087,-3.2965456400209403,0.21235522133360538,-3.744151844715755,-2.9065004822351588
lp[27],-2.1766444681394157,-2.175927927851361,0.08069092785533225,-2.3396522351487583,-2.0217551273629453
lp[28],-3.2277645597675555,-3.2189445838801065,0.2779282221305567,-3.79809605431938,-2.7122436402582033
lp[29],-2.8716710565302153,-2.8546436892507807,0.32265878551141625,-3.5492520521469966,-2.2852420802060966
lpsi[1],-2.2194777245630886,-2.2506641758407406,0.6526212218462356,-3.4018719508172355,-0.815954131320865
lpsi[2],-0.48769018940348624,-0.48357871430658816,0.17428279329632068,-0.834480545867712,-0.1470266943970906
lpsi[3],-3.3193038275447453,-3.3107870784309075,0.5661374720158009,-4.482450142614037,-2.225853317920117
lpsi[4],-2.600164944570875,-2.5866785551468094,0.3293735190766221,-3.2895571092268043,-1.9836701612437952
lpsi[5],-1.123168600434492,-1.122142025950851,0.18884393910353914,-1.5062520726785074,-0.7628852796206167
lpsi[6],-0.7668801562299946,-0.7660669987996498,0.18888199448815451,-1.137054363861123,-0.3935656876328567
lpsi[7],-2.109789224363786,-2.1052707628299796,0.3038224686249163,-2.7341398097709604,-1.5293421498823967
lpsi[8],-1.0180334516986493,-1.024464702309599,0.31050707870111477,-1.6041316107290646,-0.38308172482768965
lpsi[9],-0.5590266086045964,-0.5636014465788772,0.24727741656884508,-1.0294949683504377,-0.05948462317453619
lpsi[10],-4.177138169991824,-4.108924796114227,0.6328887821607343,-5.5834402799087135,-3.1078326471641855
lpsi[11],-2.471784862575946,-2.461423432891537,0.3277881746872436,-3.162902987971329,-1.8600168546804743
lpsi[12],-3.1536165883877376,-3.1917622556570002,0.7845821266994053,-4.6347016946964885,-1.445678605322151
lpsi[13],-0.8658127638422429,-0.8804058656585891,0.33571521473629645,-1.4787144022111838,-0.16796145615242483
lpsi[14],-1.5714375551155129,-1.5701533871302003,0.26403534491138375,-2.090478383230237,-1.06522142304409
lpsi[15],-1.0020447739813176,-0.9984909630235216,0.19795369705816443,-1.3980592630146422,-0.6155966793328705
lpsi[16],-0.4047518083514566,-0.41166024713070726,0.2396173508318313,-0.8609542345696073,0.08791708071841413
lpsi[17],-1.0837459454844836,-1.0779956426265407,0.2312007630460736,-1.5467302880251053,-0.6442805845176727
lpsi[18],-3.5049323809702266,-3.5246746303694385,0.8335846031175436,-5.162260610671744,-1.8517941453231772
lpsi[19],-0.10239001665809586,-0.10164024444197677,0.16551289479051579,-0.4310910246692825,0.21432236376881122
lpsi[20],-2.3132762203682216,-2.305975775687729,0.324125891531031,-2.9668489858753273,-1.6958854291346046
lpsi[21],-1.3822098834124605,-1.4253794479575927,0.5652227134083471,-2.35269595507925,-0.08105578138974946
lpsi[22],-2.7450234555865842,-2.747845427191187,0.5285483853185107,-3.7531750121870697,-1.66938505036727
lpsi[23],-3.764751442826375,-3.7558907954286225,0.7535969329281614,-5.304837143633289,-2.2858961635037134
lpsi[24],-1.692760550667738,-1.7074551283792028,0.4035096470141107,-2.431511621892242,-0.8513245389440532
lpsi[25],-1.7908492872751345,-1.7897891582818006,0.24126330834300663,-2.268892372692038,-1.3256254904049234
lpsi[26],-0.6525694390075238,-0.6620535107976047,0.28840331776624006,-1.1892916001519718,-0.05312646763603352
lpsi[27],0.11627356221054681,0.11514250354599823,0.1681952245981302,-0.21702313305632692,0.44438795640338674
lpsi[28],-1.6075993964282358,-1.612517905169422,0.32822460981653384,-2.239836124143194,-0.9500576868665707
lpsi[29],-2.4993447445307875,-2.493670930412634,0.38491236779313637,-3.282409810855714,-1.772356747562896
mu.p,0.05997108166783257,0.05934464523752472,0.010440846022374972,0.0412764601736667,0.08239656011558968
mu.psi,0.15561260831166523,0.15282358686217618,0.03352484511087088,0.09743297500422703,0.2290599554449509
numspp[1],12.729888888888889,13,0.8157495078589084,12,15
numspp[2],6.594555555555556,6,0.759540074529539,6,8
numspp[3],7.033555555555555,7,0.9765483357710188,6,9
numspp[4],4.177555555555555,4,1.05553463944409,3,7
numspp[5],2.416888888888889,2,1.1467416596272924,1,5
numspp[6],5.299888888888889,5,1.0764529529817863,4,8
numspp[7],7.5168888888888885,7,0.7009457273174684,7,9
numspp[8],6.596444444444445,6,0.7504701805989651,6,8
numspp[9],4.668222222222222,4,0.7959581999781191,4,7
numspp[10],2.9907777777777778,3,0.971206454624182,2,5
numspp[11],4.863333333333333,5,0.8969519077114414,4,7
numspp[12],2.836222222222222,3,1.3019765614259156,1,6
numspp[13],1.7858888888888889,2,1.278194980400826,0,5
numspp[14],1.7498888888888888,2,0.8439794751482316,1,4
numspp[15],1.657888888888889,2,1.2238889652382743,0,4
numspp[16],0.6897777777777778,1,0.804190847890349,0,3
numspp[17],2.460888888888889,2,1.462052229102394,0,6
numspp[18],1.6602222222222223,1,0.7956543513501868,1,4
numspp[19],3.7944444444444443,4,0.8679782132699039,3,6
numspp[20],1.5905555555555555,1,0.7442185374571487,1,3
numspp[21],2.5723333333333334,2,0.743823774963473,2,4
numspp[22],0.6637777777777778,0,0.7903034673905774,0,3
numspp[23],1.3732222222222221,1,1.1183617626087237,0,4
numspp[24],2.5374444444444446,2,0.718787395358936,2,4
numspp[25],1.577888888888889,1,0.7429634269107446,1,3
numspp[26],4.580666666666667,4,0.7538054731893081,4,6
numspp[27],3.197,3,1.3913085263487068,1,6
numspp[28],11.708222222222222,12,0.8052908411040297,11,14
numspp[29],5.004777777777778,5,0.9593814539894276,4,7
numspp[30],8.337,8,0.5770819336741797,8,10
numspp[31],1.8254444444444444,2,0.8815107160982735,1,4
numspp[32],8.026333333333334,8,0.9690601447659465,7,10
numspp[33],10.010222222222222,10,0.9505532369807882,9,12
numspp[34],5.476555555555556,5,1.1441815305466692,4,8
numspp[35],2.856777777777778,3,0.8999503977858403,2,5
numspp[36],5.665,5,0.8024697265083838,5,8
numspp[37],0.8835555555555555,1,0.9096271301862705,0,3
numspp[38],1.7992222222222223,2,0.8704374517647875,1,4
numspp[39],1.9656666666666667,2,0.9447682600667053,1,4
numspp[40],6.332222222222223,6,1.0841192467260476,5,9
numspp[41],4.848777777777777,5,0.8955438170484773,4,7
numspp[42],1.0294444444444444,1,0.9884991065418238,0,3
numspp[43],9.965777777777777,10,0.9350183488911576,9,12
numspp[44],6.333333333333333,6,1.1049998001286034,5,9
numspp[45],2.9415555555555555,3,0.9436423924339972,2,5
numspp[46],1.9876666666666667,2,0.9596615115189018,1,4
numspp[47],2.592111111111111,2,1.1952251508979026,1,5
numspp[48],2.508777777777778,2,1.4707318513709875,0,6
numspp[49],2,2,0.9652248822064001,1,4
numspp[50],2.015222222222222,2,0.9711309358366149,1,4
numspp[51],4.481333333333334,4,1.1582652535579807,3,7
numspp[52],1.9157777777777778,2,0.9336327630219344,1,4
numspp[53],7.593333333333334,7,0.7552902652758975,7,9
numspp[54],6.704777777777778,7,0.8139927067433431,6,9
numspp[55],5.759444444444444,6,0.8434656455177051,5,8
numspp[56],4.716333333333333,5,1.2519480985888247,3,7
numspp[57],7.553333333333334,7,1.1772749124906863,6,10
